 initial energy:           16
 initial magnetization:           24
 average energy:   -1616.9571519080898     
 fraction accepted swaps:   0.14642187500000001     
 elapsed time [s] :   0.64798200000000006     
 final energy	(simu) :        -1562
 final magnetization (simu) :          632
 Magnetization Distribution: 
        -204   8.3945312500000003E-004   4.1155699321587741E-005
        -202   8.5143229166666668E-004   4.1547924613296382E-005
        -200   8.5898437500000005E-004   4.1655559145074534E-005
        -198   9.2304687500000004E-004   4.4526110468839060E-005
        -196   9.3059895833333341E-004   4.4673477034153868E-005
        -194   9.7447916666666668E-004   4.6601224180212252E-005
        -192   1.0729166666666667E-003   5.1086177227253494E-005
        -190   1.0894531250000001E-003   5.1700340090719891E-005
        -188   1.0871093750000000E-003   5.1272008170003200E-005
        -186   1.0134114583333334E-003   4.7560651980301424E-005
        -184   1.0498697916666666E-003   4.9081831120442786E-005
        -182   9.1992187500000006E-004   4.2694817313321712E-005
        -180   9.0312500000000006E-004   4.1658892524520707E-005
        -178   1.0247395833333334E-003   4.7156236267985686E-005
        -176   1.1000000000000001E-003   5.0457835619586758E-005
        -174   1.1236979166666667E-003   5.1380965220898236E-005
        -172   1.1628906250000001E-003   5.2932810507726995E-005
        -170   1.2615885416666667E-003   5.7167791477708192E-005
        -168   1.3078125000000002E-003   5.8965700867447346E-005
        -166   1.3875000000000001E-003   6.2334831716761424E-005
        -164   1.4673177083333335E-003   6.5497979530743585E-005
        -162   1.4368489583333334E-003   6.3810069818693321E-005
        -160   1.3088541666666667E-003   5.7773755300560360E-005
        -158   1.2388020833333333E-003   5.4381072446282771E-005
        -156   1.2125000000000000E-003   5.3005879074031868E-005
        -154   1.1354166666666667E-003   4.9411274665954367E-005
        -152   1.1886718750000001E-003   5.1561361916005042E-005
        -150   1.2729166666666668E-003   5.4882725482450672E-005
        -148   1.2414062500000001E-003   5.3366262030629132E-005
        -146   1.3104166666666668E-003   5.6169928987127307E-005
        -144   1.2954427083333333E-003   5.5405112669244698E-005
        -142   1.3126302083333334E-003   5.6002394928897944E-005
        -140   1.2927083333333334E-003   5.5161691634954186E-005
        -138   1.3679687500000000E-003   5.8182558335632427E-005
        -136   1.3313802083333335E-003   5.6458057326117317E-005
        -134   1.3343750000000001E-003   5.6367985081190255E-005
        -132   1.4059895833333333E-003   5.9159382744927082E-005
        -130   1.3714843750000001E-003   5.7536545981348436E-005
        -128   1.4145833333333334E-003   5.9166983381079287E-005
        -126   1.3968750000000001E-003   5.8410010529192140E-005
        -124   1.4406250000000001E-003   6.0171126240501882E-005
        -122   1.4007812500000001E-003   5.8257583113997736E-005
        -120   1.4726562500000000E-003   6.1106927072765758E-005
        -118   1.4647135416666667E-003   6.0528903100014138E-005
        -116   1.4356770833333335E-003   5.9299904319536439E-005
        -114   1.5572916666666667E-003   6.4127425084571185E-005
        -112   1.5363281250000002E-003   6.2950021023022812E-005
        -110   1.5191406250000001E-003   6.2026854984615352E-005
        -108   1.5153645833333334E-003   6.1630248591064120E-005
        -106   1.5451822916666667E-003   6.2724867573041082E-005
        -104   1.4842447916666667E-003   6.0305746915566722E-005
        -102   1.4959635416666667E-003   6.0748196115487411E-005
        -100   1.5523437500000001E-003   6.2831061127189270E-005
         -98   1.4110677083333334E-003   5.6817532977521317E-005
         -96   1.4920572916666667E-003   5.9755300596001554E-005
         -94   1.5369791666666667E-003   6.1512119437176339E-005
         -92   1.7005208333333334E-003   6.7945847402562062E-005
         -90   1.8032552083333334E-003   7.1842681564468106E-005
         -88   1.7667968750000001E-003   7.0135791500982260E-005
