 conserved    temp
    0.1125052421E+03    0.2020585915E-12
    0.1125052807E+03    0.6391353915E-05
    0.1125053136E+03    0.4991311535E-15
    0.1125052640E+03    0.6552654459E-17
    0.1125052445E+03    0.3149450399E-11
    0.1125053077E+03    0.2729587165E-03
    0.1125053338E+03    0.4436813972E-13
    0.1125053251E+03    0.2073519788E-17
    0.1125052403E+03    0.3537887446E-09
    0.1125053507E+03    0.2566497869E+00
    0.1125052632E+03    0.2716602778E-12
    0.1125052721E+03    0.7840969644E-19
    0.1125052023E+03    0.1423292667E-10
    0.1125052305E+03    0.9695645807E-06
    0.1125052612E+03    0.1036384822E-10
    0.1125052171E+03    0.3449542895E-17
    0.1125052196E+03    0.1037288176E-16
    0.1125052368E+03    0.5597387933E-16
    0.1125051969E+03    0.9898313816E-17
    0.1125052556E+03    0.3414944523E-10
    0.1125051812E+03    0.1804119940E-03
    0.1125053699E+03    0.4564880457E+00
    0.1125052354E+03    0.2936571131E-17
    0.1125052339E+03    0.1985619453E-06
    0.1125052426E+03    0.2886327943E-19
    0.1125051897E+03    0.9323153924E-15
    0.1125052444E+03    0.5281577019E-13
    0.1125052788E+03    0.7348023853E-06
    0.1125052189E+03    0.9056600834E-16
    0.1125052315E+03    0.6139592424E-18
    0.1125053034E+03    0.4031983337E-18
    0.1125056327E+03    0.1198603422E+00
    0.1125052535E+03    0.2442891282E-13
    0.1125052156E+03    0.1401216898E-15
    0.1125052704E+03    0.2282522613E-20
    0.1125052174E+03    0.4931927267E-08
    0.1125052310E+03    0.1001730095E-09
    0.1125052662E+03    0.2037175309E-10
    0.1125052019E+03    0.6837487656E-03
    0.1125052674E+03    0.5293481990E-18
    0.1125052036E+03    0.2689447341E-12
    0.1125052701E+03    0.3575823091E-19
    0.1125052312E+03    0.4655614979E-11
    0.1125052453E+03    0.1839964779E-18
    0.1125052366E+03    0.4516982923E-04
    0.1125052115E+03    0.9285437045E-05
    0.1125052643E+03    0.4130644222E-10
    0.1125051896E+03    0.9474768458E-13
    0.1125052649E+03    0.1601962838E-18
    0.1125052065E+03    0.3304836269E-16
    0.1125052386E+03    0.1638940217E-17
    0.1125052659E+03    0.3985014076E-11
    0.1125052014E+03    0.1291221307E-08
    0.1125052698E+03    0.6635753767E-02
    0.1125052217E+03    0.9174041390E-14
    0.1125052333E+03    0.5368982798E-09
    0.1125052628E+03    0.3679052764E-20
    0.1125052112E+03    0.2262675490E-14
    0.1125052496E+03    0.5423508053E-15
    0.1125052579E+03    0.9400766824E-05
    0.1125051948E+03    0.3179767558E-05
    0.1125052665E+03    0.1315598802E-15
    0.1125052279E+03    0.2317058287E-16
    0.1125052287E+03    0.1415274462E-15
    0.1125052860E+03    0.8726363725E-09
    0.1125052795E+03    0.3840515050E-15
    0.1125051938E+03    0.1206678581E-13
    0.1125052581E+03    0.1026973935E-18
    0.1125052233E+03    0.5434352801E-14
    0.1125052191E+03    0.7278349729E-15
    0.1125056302E+03    0.2363011577E-01
    0.1125051930E+03    0.7456546428E-04
    0.1125052532E+03    0.1573756942E-10
    0.1125052363E+03    0.1516224011E-17
    0.1125052036E+03    0.3272790415E-16
    0.1125052682E+03    0.5935272001E-17
    0.1125051915E+03    0.1772277558E-06
    0.1125052696E+03    0.2219646825E-10
    0.1125052211E+03    0.1782568382E-08
    0.1125052140E+03    0.5932178499E-08
    0.1125052729E+03    0.1031230190E-20
    0.1125051922E+03    0.3461812125E-16
    0.1125052673E+03    0.2439065961E-20
    0.1125052102E+03    0.2744931753E-17
    0.1125052615E+03    0.1090344035E-16
    0.1125051932E+03    0.7556632283E-09
    0.1125052711E+03    0.1868232177E-06
    0.1125052735E+03    0.6060613691E-16
    0.1125052048E+03    0.6180967550E-16
    0.1125052458E+03    0.4518316338E-18
    0.1125052478E+03    0.3019167482E-08
    0.1125052095E+03    0.4922549000E-05
    0.1125053589E+03    0.3782821490E+00
    0.1125052237E+03    0.2532331081E-16
    0.1125052221E+03    0.5156615984E-14
    0.1125052516E+03    0.1180216166E-18
    0.1125051981E+03    0.5933166649E-17
    0.1125052623E+03    0.1050427092E-14
    0.1125055048E+03    0.7736903191E-01
    0.1125052196E+03    0.7274226918E-04
    0.1125052736E+03    0.5574528242E-17
    0.1125052432E+03    0.1076095371E-14
    0.1125052202E+03    0.3010519708E-08
    0.1125055308E+03    0.1679635213E+00
    0.1125053066E+03    0.4417743408E-17
    0.1125052596E+03    0.1382797693E-15
    0.1125052399E+03    0.3015158514E-08
    0.1125053679E+03    0.4510144141E+00
    0.1125053221E+03    0.5919403870E-17
    0.1125053086E+03    0.1164268304E-15
    0.1125052911E+03    0.7265994171E-04
    0.1125052848E+03    0.1423221248E-07
    0.1125052905E+03    0.2743716978E-16
    0.1125053430E+03    0.1209266140E-17
    0.1125056325E+03    0.2303755751E-01
    0.1125052535E+03    0.6274051641E-11
    0.1125052520E+03    0.1504744217E-15
    0.1125053072E+03    0.1836997188E-16
    0.1125054342E+03    0.2396267984E+00
    0.1125053162E+03    0.2608669449E-14
    0.1125052977E+03    0.3411768998E-16
    0.1125053059E+03    0.1044663001E-14
    0.1125053851E+03    0.7374130294E-01
    0.1125053369E+03    0.6614777873E-16
    0.1125052681E+03    0.1986792945E-16
    0.1125052656E+03    0.9965016886E-13
    0.1125053330E+03    0.5053807376E-01
    0.1125053202E+03    0.8556277205E-17
    0.1125052813E+03    0.6445257660E-16
    0.1125052289E+03    0.1064483161E-12
    0.1125052549E+03    0.5948986129E-07
    0.1125052654E+03    0.2366565098E-14
    0.1125052141E+03    0.1324851929E-16
    0.1125052136E+03    0.1131325623E-15
    0.1125052952E+03    0.1121898667E-09
    0.1125052777E+03    0.1082597246E-11
    0.1125052754E+03    0.3295311304E-15
    0.1125052717E+03    0.2266152720E-17
    0.1125053239E+03    0.4113549997E-11
    0.1125053318E+03    0.3597847642E-12
    0.1125053129E+03    0.1558759043E-17
    0.1125052905E+03    0.4784973248E-15
    0.1125052798E+03    0.2028012335E-10
    0.1125053034E+03    0.4278794261E-06
    0.1125052848E+03    0.1839586832E-17
    0.1125052480E+03    0.1375660666E-13
    0.1125052901E+03    0.6866040863E-10
    0.1125053151E+03    0.5813588064E-06
    0.1125053442E+03    0.7062501046E-19
    0.1125052684E+03    0.5840658237E-14
    0.1125052438E+03    0.2029896378E-04
    0.1125052716E+03    0.5072444800E-08
    0.1125052895E+03    0.9580000980E-19
    0.1125052570E+03    0.7042951340E-12
    0.1125051905E+03    0.7666626891E-05
    0.1125052236E+03    0.6679108921E-03
    0.1125052538E+03    0.4011525426E-18
    0.1125051925E+03    0.1974758661E-15
    0.1125052211E+03    0.1349840116E-14
    0.1125054353E+03    0.2951068102E+00
    0.1125052128E+03    0.1608098406E-13
    0.1125051923E+03    0.7767252153E-13
    0.1125052471E+03    0.3096261498E-20
    0.1125051765E+03    0.3583050876E-12
    0.1125052327E+03    0.3271965020E-12
    0.1125052474E+03    0.1416547922E-09
    0.1125051761E+03    0.2713798369E-12
    0.1125052345E+03    0.5684084424E-17
    0.1125052254E+03    0.7257419705E-14
    0.1125051930E+03    0.7512916668E-09
    0.1125052433E+03    0.4971937605E-02
    0.1125052479E+03    0.5395214904E-19
    0.1125051742E+03    0.1253833671E-13
    0.1125052508E+03    0.6387936672E-23
    0.1125051827E+03    0.1036501838E-15
    0.1125052372E+03    0.5674299050E-19
    0.1125052601E+03    0.3873449066E-02
    0.1125052136E+03    0.5543985912E-14
    0.1125052135E+03    0.1444702221E-20
    0.1125052584E+03    0.6396186853E-19
    0.1125052182E+03    0.5573961682E-02
    0.1125051820E+03    0.1768620875E-03
    0.1125052551E+03    0.1305322869E-12
    0.1125052391E+03    0.1245158486E-17
    0.1125051842E+03    0.4427972408E-14
    0.1125052550E+03    0.1237982668E-19
    0.1125052224E+03    0.5826442478E-02
    0.1125051893E+03    0.1243752276E-07
    0.1125052779E+03    0.1043862032E-15
    0.1125052759E+03    0.3012452818E-16
    0.1125052584E+03    0.7780341291E-06
    0.1125052435E+03    0.3804358562E-03
    0.1125052841E+03    0.2080188821E-14
    0.1125053054E+03    0.8253681244E-18
    0.1125052683E+03    0.3955199410E-03
    0.1125052195E+03    0.4592330490E-04
    0.1125052990E+03    0.9347393099E-12
    0.1125053391E+03    0.3721740815E-20
    0.1125052778E+03    0.1988186394E-06
    0.1125052511E+03    0.1418567176E-03
    0.1125052747E+03    0.1019632205E-12
    0.1125053250E+03    0.2831367424E-19
    0.1125052708E+03    0.4038915039E-06
    0.1125052434E+03    0.9275973301E-04
    0.1125052666E+03    0.3335103818E-11
    0.1125053048E+03    0.2109447509E-19
    0.1125052844E+03    0.5525891032E-09
    0.1125052499E+03    0.2403011764E-01
    0.1125052993E+03    0.1689872207E-08
    0.1125053311E+03    0.3211627348E-19
    0.1125053255E+03    0.1267166677E-11
